q_id,question
550,What are the annual commercial crops?
551,What are the annual horticultural crops?
552,What information is recorded in the S.No column?
553,What does the Member Name & Gender column represent?
554,What does the Date of Membership column indicate?
555,What does the Share Money deposited by member column represent?
556,What information is provided in the No. of Shares allotted column?
557,What does the Land holding of Shareholders column signify?
558,What information is recorded in the Land Record (Khasra No.) column?
559,Who are the Signatories mentioned in the document?
560,Who verifies and certifies the document?
561,What information is included in the member record?
562,What is the purpose of share money deposited by the member?
563,What does the number of shares allotted represent?
564,What is the folio share distinctive number used for?
565,Why is it important to stabilize the income of farmers?
566,What are the challenges faced by farmers in maintaining a stable income?
567,How can stabilizing farmers' income contribute to the overall economy?
568,What measures can be taken to stabilize the income of farmers?
569,What role can government policies play in stabilizing farmers' income?
570,Why is it important to support small-scale farmers in stabilizing their income?
571,How can farm diversification contribute to stabilizing farmers' income?
572,What are the potential benefits of stabilizing farmers' income?
573,What is the importance of stabilizing the income of farmers?
574,How does stabilizing the income of farmers benefit them?
575,What are some challenges faced by farmers in stabilizing their income?
576,How can governments support the stabilization of farmers' income?
577,What role can ICs play in facilitating the use of technology?
578,What is the importance of satellite and UAV remote sensing in agriculture?
579,How can technology aid in crop area estimation and yield disputes?
580,What are the benefits of using remote sensing in agriculture?
581,How can technology assist in the assessment of prevented sowing?
582,What is the significance of technology in loss assessment in agriculture?
583,How can technology contribute to the clustering of districts in agriculture?
584,What is the role of ICs in promoting the use of technology for CCE planning?
585,How can ICs facilitate the use of technology?
586,What is the objective of the Scheme?
587,How does the Scheme adopt technology for administration?
588,Who is covered under the Scheme?
589,Which crops are covered under the Scheme?
590,What are the risks and exclusions covered under the Scheme?
591,What are the preconditions for implementing the Scheme?
592,How are funds remitted under the Scheme?
593,What is the purpose of digitization of land records?
594,What is the purpose of the national level Project Management Advisory and Fund Sanctioning Committee (N-PMAFSC) in DAC&FW?
595,Who is the Chairperson of the N-PMAFSC committee?
596,Who are the members of the N-PMAFSC committee?
597,Can additional members be co-opted to the N-PMAFSC committee?
598,Which office provides necessary secretarial services and assistance to the N-PMAFSC committee?
599,What is the role of the Directorate of Marketing & Inspection in relation to the N-PMAFSC committee?
600,What is the purpose of the national level Project Management Advisory and Fund Sanctioning Committee (N-PMAFSC)?
601,Who is the Chairperson of the national level Project Management Advisory and Fund Sanctioning Committee (N-PMAFSC)?
602,When should the meeting of SLCCCI be convened?
603,What should the State/UT Govt. ensure prior to the commencement of the crop season?
604,What should be included in the Tender Document and State Notification?
605,What data should be uploaded on the National Crop Insurance Portal before floating the Tender?
606,What is the basis for the calculation of the lowest weighted premium of a district?
608,What should be done at least one month in advance of the crop season?
609,What details should be part of the Tender Document and State Notification?
610,What does AIC stand for?
611,What does ACF stand for?
612,What does APR stand for?
613,What does ARG stand for?
614,What does AWS stand for?
615,What does AY stand for?
616,What does CB stand for?
617,What does CBS stand for?
618,Why is it important to encourage farmers to adopt innovative and modern agricultural practices?
619,What are some examples of innovative and modern agricultural practices?
620,How can innovative agricultural practices contribute to sustainable farming?
621,What are the potential challenges or barriers faced by farmers when adopting innovative agricultural practices?
622,How can governments and organizations support farmers in adopting innovative and modern agricultural practices?
623,What are the potential economic benefits of adopting innovative and modern agricultural practices?
624,How can the adoption of innovative agricultural practices contribute to environmental conservation?
625,What are the social benefits of encouraging farmers to adopt innovative and modern agricultural practices?
626,What are some benefits of adopting innovative and modern agricultural practices?
627,How can innovative agricultural practices help farmers increase their yields?
628,What role does technology play in modern agricultural practices?
629,What are some examples of innovative agricultural practices?
630,Who is responsible for notifying the weather data provider or expert agency for assessing losses and computing claims?
631,Who bears the cost of the weather data provided by the concerned insurance companies?
632,What are AWS and ARG?
633,What standards do the notified AWS and ARG need to meet?
634,What is the purpose of the weather data provided by the notified AWS and ARG?
635,Who determines the methodology for assessing the extent of losses and computation of claims?
636,Who notifies the concerned weather data provider/expert agency?
637,What is the purpose of the notified AWS and ARG?
638,What is the purpose of providing financial support to farmers?
639,Who benefits from the financial support provided to farmers?
640,What kind of events can lead to crop loss or damage for farmers?
641,Why is it important to provide financial support to farmers in such situations?
642,What are some examples of unforeseen events that can impact farmers?
643,How does the financial support help farmers in recovering from crop loss or damage?
644,"Is the financial support only provided for crop loss, or does it also cover damage to other agricultural assets?"
645,How can farmers access the financial support in case of crop loss or damage?
647,What does crop loss/damage refer to?
648,Why do farmers need financial support for crop loss/damage?
649,What are some examples of unforeseen events that can cause crop loss/damage?
650,Why is monitoring of the scheme at the District/Cluster Level important?
651,What is the purpose of the District level Monitoring Committee (D-MC)?
652,Who constitutes the District level Monitoring Committee (D-MC)?
653,What is the role of the District Collector in the District level Monitoring Committee (D-MC)?
654,Why is effective coordination among the stakeholders important for the success of the scheme?
655,What are some of the challenges faced by FPOs that are addressed by the District level Monitoring Committee (D-MC)?
656,What is the significance of cluster development in the implementation of the scheme?
657,Why is monitoring of the scheme important at the District/Cluster level?
658,What is the role of the District level Monitoring Committee (D-MC) in the implementation of the scheme?
659,Who is part of the District level Monitoring Committee?
660,What is the purpose of constituting the District level Monitoring Committee?
661,Why is effective coordination among stakeholders important for the success of the scheme?
662,What are the ongoing schemes of the Government that can be used to enhance the cost effectiveness of FPOs?
663,Which government scheme can an FPO avail assistance from to develop post-harvest management and marketing infrastructure?
664,What assistance can states or union territories avail for the development of marketing and farm-level value addition infrastructure and facilities for FPOs?
665,Which ongoing government scheme can be converged to create infrastructure like Custom Hiring Centre/Common Facilitation Centre and machinery/equipment for FPOs?
666,Can states or union territories supplement the activities and infrastructure of FPOs using their own fund?
667,What schemes can be used in convergence with the ongoing schemes of the government to enhance the cost effectiveness of FPOs?
668,Which scheme can an FPO avail assistance from if it wants to develop post-harvest management and marketing infrastructure?
669,What assistance can states/Union Territories avail for the development of marketing and farm-level value addition infrastructure/facilities for FPOs?
670,What can states/Union Territories do to supplement the activities of FPOs?
672,What type of secured credential/login is preferred for all stakeholders on the portal?
673,Can insurance companies distribute/collect details of insured farmers through any other proforma/utility/web portal?
674,Who will be eligible for insurance coverage and premium subsidy from the State and Central Government?
675,What type of data will be available on the National Crop Insurance Portal?
676,What is the requirement for banks/financial institutions/other intermediaries regarding the transfer of individual farmer's data?
677,Is there a proposal to develop an integrated platform/portal for both PMFBY and Interest Subvention Scheme?
678,How should insurance companies monitor crop health and Crop Cutting Experiments (CCEs)?
679,What is the purpose of the National Crop Insurance Portal?
680,How are the stakeholders provided access to the National Crop Insurance Portal?
681,Are Insurance Companies allowed to use separate platforms to collect details of insured farmers?
682,Who is eligible for insurance coverage and premium subsidy?
683,What kind of data will be available on the National Crop Insurance Portal?
684,Who are the District level officers of line departments?
685,What is the role of District level officers of line departments?
686,Why are District level officers of line departments important?
687,How do District level officers of line departments coordinate with other departments?
688,What are the challenges faced by District level officers of line departments?
689,How can District level officers of line departments ensure effective service delivery?
690,What skills are required for District level officers of line departments?
691,How can District level officers of line departments promote community engagement?
692,Who are the District level officers mentioned in the text?
693,What is the role of the District level officers?
694,What is the significance of Member* (iii) in the text?
695,Can you provide more information about the line departments mentioned in the text?
696,What is the role of a Lead District Manager?
697,What is the main responsibility of a Lead District Manager?
698,What is the purpose of having a Lead District Manager?
699,How does a Lead District Manager contribute to financial inclusion?
700,What are some tasks performed by a Lead District Manager?
701,How does a Lead District Manager support rural development?
702,What skills are required to be a successful Lead District Manager?
703,What are the benefits of having a Lead District Manager system?
704,What is a Lead District Manager?
705,What are the responsibilities of a Lead District Manager?
706,What is the role of a Lead District Manager in facilitating access to agricultural credit?
707,How does a Lead District Manager promote and implement government schemes and programs related to agriculture?
708,What is an Equity Grant facility?
709,What is the purpose of submitting an application along with the mandatory documents?
710,Who can apply for an equity grant?
711,What happens after the equity grant application is submitted?
712,What does it mean to certify that no member of the FPO had availed the equity grant facility earlier?
713,Why do FPOs request the approval of the equity grant?
714,What are the mandatory documents required for the equity grant application?
715,Who is the authorized representative responsible for submitting the equity grant application?
716,What is the purpose of the certificate mentioned in the text?
717,What is the request made in the application submitted?
718,Who signs the letter in the text?
719,What documents are submitted along with the application?
720,Who signed the agreement?
721,Who is the implementing agency?
722,What is the purpose of the agreement?
723,How long will the agreement be in force?
724,What is the designation of the person who signed the agreement?
725,What is the significance of the seal in the agreement?
726,Who is responsible for the implementation of the agreement?
727,Can the agreement be terminated?
728,What is the duration of the agreement?
731,What is the role of the CEO & Board of Directors in the agreement?
732,Which farmers are covered compulsorily under the Scheme?
733,"Does the provision of compulsory coverage override any decision taken by Financial Institutions (FIs), including PACS?"
734,Are non-standard KCC/crop loans covered compulsorily under the Scheme?
735,What types of loans are not covered under the Scheme?
736,What is the Voluntary Component of the Scheme?
737,Which farmers are compulsorily covered under Seasonal Agricultural Operations (SAO) loans?
738,Can non-standard KCC/crop loans be covered compulsorily under the scheme?
739,What should bank branches do for farmers with non-standard KCC/crop loans?
740,What is the purpose of monitoring and reviewing the progress of FPO development and functioning?
741,What is the role of the committee in formulating a strategy for FPO development?
742,How does the committee assist in the identification of produce clusters for FPOs?
743,What is the committee's role in establishing an effective extension mechanism for FPOs?
744,How does the committee assist FPOs in obtaining necessary licenses and registrations?
745,In what way does the committee ensure the involvement of FPOs in government schemes?
746,How does the committee contribute to the development of common facility centers and custom hiring centers?
748,What is the role of the committee in promoting the formation and development of FPOs?
749,How does the committee address the constraints in implementation of the FPO development scheme?
750,What is the role of State Government departments in FPO development?
751,How is the extension mechanism for FPOs implemented?
752,What are the stages of crop risks covered under the Scheme?
753,What is Prevented Sowing/Planting/Germination Risk?
754,What risks are covered under Standing Crop (Sowing to Harvesting) Risk?
755,What is the coverage for Post-Harvest Losses?
756,What are the risks covered under Localized Calamities?
757,What is the add-on coverage for crop loss due to attack by wild animals?
758,What risks are covered under the Scheme?
759,What is prevented sowing/planting/germination risk?
760,What risks are covered under standing crop insurance?
761,What are post-harvest losses covered under the Scheme?
762,What are localized calamities covered under the Scheme?
763,What is the purpose of the meeting?
764,How was the FPO formed?
765,What is the basis of allocation for the grant?
766,How should the accounts of the grant be maintained?
767,Who is eligible to receive the benefit of the support?
768,What happens if a shareholder member quits the FPO?
769,What did the shareholders agree to in the AGM/EGM?
770,Who is authorized to sign the documents and forms pertaining to the support?
771,What should be done with the resolution?
772,Where will the meeting take place?
773,When will the meeting take place?
774,Why was the FPO formed?
775,What is the purpose of the Equity Grant support?
776,How will the fund allocation be determined?
777,How will the accounts of the grant be maintained?
778,Who is eligible for coverage in the insurance programme?
779,What kind of farmers are required to submit land records?
780,What documents do non-loanee farmers need to submit?
781,What are the land records that non-loanee farmers need to provide?
782,Who defines the requirements for land record documentation?
783,What should sharecroppers and tenant farmers provide as documentation?
784,What is the eligibility criteria for farmers in the insurance programme?
785,What is insurable interest in the crops?
786,Who is eligible for coverage under the insurance programme?
787,What percentage of the total budget for PMFBY is earmarked for administrative expenses?
788,What are the various expenses covered by the earmarked budget for PMFBY?
789,What provisions has the Government of India made for separate allocations under the Crop Insurance program?
790,What should the States do in terms of budgetary allocation for the Crop Insurance program?
791,"What percentage of the total budget for PMFBY should be earmarked for administrative expenses, publicity, and yield/loss assessment expenses?"
792,What expenses can be covered using the earmarked budget for PMFBY?
793,What provisions has the Government of India made for separate allocations under subheads in the Crop Insurance program under PMFBY/RWBCIS?
794,What allocations should the states make for the Crop Insurance program under PMFBY/RWBCIS?
795,What is the purpose of the request letter addressed to the Bank Manager on the original letterhead of FPO?
796,What are the enclosures required to be included with the request letter?
797,What is the purpose of the Implementation Schedule?
798,What is the Affidavit of the promoters?
799,What is the purpose of the Field Inspection Report of the bank official?
800,What are the mandatory documents required for equity certification?
801,What does the list of shareholders include?
802,Why is the up-to-date statement of account required for the bank official?
803,What does the Potential Impact on small farmer producers refer to?
804,What is the purpose of the signature of the Branch Manager with branch seal on the date of the document?
805,Who is required to sign on each page of the original letterhead of the FPO?
806,What is the purpose of the Promoter's request letter?
807,What is the significance of the Sanction letter?
808,"Why is capacity building, training, and skill development important for the development of FPOs?"
809,Which institution is designated as the Nodal Training Institution at the central level for FPOs?
810,Which organizations will the BIRD work in partnership with for training FPOs?
811,Who will prepare the training module and training schedule for FPOs?
812,How are the training expenses shared when BIRD is the nodal agency?
813,What topics are covered in the training for the promotion of FPOs?
814,Which stakeholders are identified by the Nodal training institution for capacity building and skill development?
815,Which agencies are allowed/designated as Implementing Agencies for FPOs?
816,Why is capacity building important for the development of FPOs?
817,Why is it important to ensure the flow of credit to the agriculture sector?
818,What are the benefits of ensuring credit flow to the agriculture sector?
819,How does credit flow to the agriculture sector contribute to food security?
820,How does ensuring credit flow protect farmers from production risks?
821,In what ways does credit flow enhance the growth and competitiveness of the agriculture sector?
822,How does credit flow contribute to crop diversification?
823,What are the potential risks faced by farmers in the absence of credit flow?
824,How does credit flow to the agriculture sector benefit smallholder farmers?
825,How does credit flow contribute to the overall development of the agriculture sector?
826,What is the purpose of ensuring flow of credit to the agriculture sector?
827,How does ensuring flow of credit to the agriculture sector contribute to food security?
828,What is the requirement for the shareholder list and share capital contribution?
829,What is the resolution needed for seeking equity grant for members?
830,What information should be included in the consent of shareholders?
831,What are the requirements for the audited financials of FPO?
832,What is the requirement for the photocopy of FPO Bank Account Statement?
833,What should the business plan and budget include?
834,What are the identity proof options for the representatives/directors authorized by the board?
835,How many board member authorized representatives should sign each page of the application form and accompanying documents?
836,What are the requirements for the shareholder list and share capital contribution?
837,What is the resolution needed for seeking equity grant?
839,What is required in terms of the FPO's financials?
840,What is the name of the Implementing Agency and what are their contact details?
841,Who should sign each page of the application form?
842,What information is required about the applicant Bank Branch?
843,What information is required about the Borrower FPO?
844,What information is required about the banking facilities sanctioned by the sanctioning authority?
845,What is the name and address of the controlling office of the Branch?
846,What is the present status of the FPO activity?
847,What is the status of the accounts related to the FPO activity?
848,What is the name of the implementing agency?
849,What are the details required for the address of the implementing agency?
851,What information is needed for the applicant bank branch?
852,What information is required for the borrower FPO?
853,What are the components for which details are required?
854,What is LINAC and what is its role?
855,Which institutions does LINAC partner with for training purposes?
856,What is the process for approval of LINAC's training module and schedule?
857,How are training expenses handled when LINAC is the nodal agency?
858,Is there a possibility of other training institutes being designated as nodal training institutes?
859,What is the preferred location for training programs conducted by central nodal training institutes?
860,"How often are Boards of Directors (BoDs), CEOs/Managers, and other stakeholders trained?"
861,"What provisions are made for the boarding, lodging, and transportation of trainees?"
862,What is the additional responsibility of Nodal Training Institutes regarding trainee and FPO performance?
863,What is LINAC?
864,Which institutions will LINAC work in partnership with for training?
865,What is the role of LINAC regarding training module and schedule?
866,How will the training expenses be claimed by LINAC?
867,What is the purpose of the SLCCCI meeting?
868,What activities are carried out during the SLCCCI meeting?
869,What is the role of the Nodal Department of States/UTs?
870,When is the uploading of requisite information/data on the crop insurance Portal and issuing of tender documents done?
871,What is the finalization of the Tender and the award of work?
872,When does the finalization of the Tender and award of work take place?
873,When does the digitization of notification and downloading/issuance of notification from the crop insurance Portal take place?
874,What are the activities carried out during the awareness/sensitization/training programmes?
875,What does Table 1 provide information about?
876,What does Table 2 specify?
877,What does Table 3 describe?
878,What is the purpose of Table 4?
879,What does Table 5 explain?
880,What does Table 7 provide details on?
881,What is the content of Table 9?
882,What does Table 10 outline?
883,What is the purpose of the State Level Consultative Committee (SLCC)?
884,Who is the Chairperson of the State Level Consultative Committee (SLCC)?
885,Who are the members of the State Level Consultative Committee (SLCC)?
886,What is the role of the Member Secretary in the State Level Consultative Committee (SLCC)?
887,Who can be invited as a special invitee in the meetings of the State Level Consultative Committee (SLCC)?
888,How are farmer members or representatives of FPOs included in the State Level Consultative Committee (SLCC)?
889,Who can serve as the Member Secretary of the State Level Consultative Committee (SLCC)?
890,Who has the authority to form the State Level Consultative Committee (SLCC)?
892,Who is the chairperson of the State Level Consultative Committee (SLCC)?
894,Who determines the Actuarial Premium Rate (APR) under PMFBY?
895,What does the Premium payable by the farmer depend on in PMFBY?
896,How is the Actuarial Premium Rate (APR) calculated in PMFBY?
897,What is the purpose of the Actuarial Premium Rate (APR) in PMFBY?
898,Are all farmers charged the same premium in PMFBY?
899,Where can the premium rates for farmers be found in PMFBY?
900,Who charges the Actuarial Premium Rate (APR) under PMFBY?
901,What is the premium payable by the farmer under PMFBY?
902,How is the premium rate determined under PMFBY?
903,Where can the premium rates for PMFBY be found?
904,Who is responsible for implementing PMFBY?
905,What is the purpose of the application mentioned in the text?
906,What are the details required for the application of Equity Grant?
907,Where should the application for Equity Grant be submitted?
908,What is the scheme under which the Equity Grant is being applied?
909,"What is the purpose of the Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs) scheme?"
910,What is an FPO?
911,What is the significance of the Equity Grant for an FPO?
912,What does the term 'shareholder members' refer to?
914,Who are the recipients of the application?
915,What details need to be provided about the FPO in the application?
916,What is the purpose of the Equity Grant mentioned in the application?
917,What is the role of Nodal Institutions in the training program?
918,What can Nodal Training Institutions develop to disseminate knowledge to new and existing FPOs?
919,What is the objective of developing a distance learning Diploma Program in FPO management?
920,What is the budgetary provision made by DAC&FW for training through specialized institutions?
921,Which institution will contribute to capacity building in partnership with BIRD and other National and Regional level institutions?
922,What is the role of Nodal Institutions in the agricultural training program?
923,What is the purpose of video-based e-learning modules developed by Nodal Training Institutions?
924,What is the budgetary provision for training through specialized institutions?
925,What is the purpose of the distance learning Diploma Program in FPO management?
926,Who is responsible for the capacity building in the agricultural training program?
927,What is the duration of the budgetary provision for training through specialized institutions?
928,What is the recommendation for the availability of land to FPOs for setting up CFCs and CHCs?
929,What is the suggestion for FPOs regarding procurement operations?
930,How can FPOs sell their produce through e-National Agriculture Market (e-NAM)?
931,Who is authorized to finalize the Operational Guidelines of the scheme?
932,What can states or union territories do to support FPOs in setting up CFCs and CHCs?
933,How can the government prioritize FPOs?
934,How can states encourage FPOs to sell their produce?
935,Who is authorized to finalize the Operational Guidelines and issue them?
936,What should states consider in relation to providing land to FPOs?
937,What is NABARD?
938,What is NAIS?
939,What does NCIP stand for?
940,What is NEFT?
941,What is NFA?
942,What is NRSC?
943,What is NSSO?
944,What are RRBs?
945,What steps should insurance companies take to safeguard the insured's interest?
946,When will the government provide protection to insurance companies?
947,What happens if the losses in a crop season exceed the specified level?
948,Who is responsible for settling the admissible claims if the losses are below the specified condition?
949,What steps should the insurance company take to safeguard the insured's interest?
950,Under what conditions will the government provide protection to insurance companies in a crop season?
951,How will the losses exceeding the specified level in a crop season be met?
952,What is the responsibility of insurers when losses are below the specified condition?
953,What steps should an insurance company take to safeguard the insured's interest?
954,What is the purpose of opening Kiosks under BC model through federations?
955,How many kiosks were working through farmer club federations as of September 2014?
956,What services do the kiosks provide?
957,How are the kiosks attached to the nearest branch?
958,What is the monthly income of the kiosks?
959,What are the expenditures involved in operating the kiosks?
960,What are the additional services provided by the kiosks?
961,How many more kiosks was SBI planning to establish in the district?
962,What is the purpose of opening Kiosks under the BC model through federations?
963,How many Kiosks were working through farmer club federations as of September 2014?
964,How many more Kiosks was SBI planning to establish in the next one year?
965,What is the Pradhan Mantri Fasal Bima Yojana?
966,Which department is responsible for the Pradhan Mantri Fasal Bima Yojana?
967,What is the objective of the Pradhan Mantri Fasal Bima Yojana?
968,Where is the Ministry of Agriculture & Farmers Welfare located?
969,Who benefits from the Pradhan Mantri Fasal Bima Yojana?
970,What kind of risks does the Pradhan Mantri Fasal Bima Yojana cover?
971,What is the purpose of the revised Pradhan Mantri Fasal Bima Yojana?
972,Why was the Pradhan Mantri Fasal Bima Yojana introduced?
973,How does the Pradhan Mantri Fasal Bima Yojana support farmers?
974,What is Pradhan Mantri Fasal Bima Yojana?
975,Which government department is responsible for the implementation of Pradhan Mantri Fasal Bima Yojana?
976,"Where is the headquarters of the Department of Agriculture, Cooperation and Farmers Welfare located?"
977,What is the objective of Pradhan Mantri Fasal Bima Yojana?
978,Who is eligible to participate in Pradhan Mantri Fasal Bima Yojana?
979,What are the benefits of Pradhan Mantri Fasal Bima Yojana?
980,When is the first installment due?
981,When is the last installment due?
982,What is Cash Credit?
983,Are there any comments on irregularities?
984,Is there any adverse comment on the unit by inspecting officials in the last inspection report?
985,What is the cost of the project?
986,What are the means of finance for the project?
987,What are the forward linkages for the project?
988,Are there any backward linkages with small/marginal farmers?
989,What are the primary and collateral securities taken by the bank?
990,Is there any consortium associated with the credit facility?
991,What is the address associated with the credit facility?
992,What is the purpose of submitting a detailed action plan to NABARD?
993,What role does the Resource Support Agency (RSA) play in the scheme?
994,What are the responsibilities of the RSAs in the implementation of the scheme?
995,What is the supervision and guidance structure for the RSAs?
996,Who is responsible for organizing various training programs under the scheme?
998,What is the role of the Resource Support Agency (RSA) in promoting FPOs?
