question,answer,content_row
"What is the consequence of incorrect, partial, or non-uploading of details on the Portal?","Farmers who have incorrect, partial, or non-uploaded details on the Portal may be denied crop insurance. In such cases, the responsible banks or intermediaries will be liable to pay the claims.",3212
Who is responsible for payment of claims to farmers who are denied crop insurance due to incomplete details on the Portal?,"The concerned Banks/Intermediaries are responsible for the payment of claims to farmers who are denied crop insurance due to incorrect, partial, or non-uploading of their details on the Portal.",3212
Why is the entry of detailed information of insured farmers on the National Crop Insurance Portal essential?,The entry of detailed information of insured farmers on the National Crop Insurance Portal is essential for the timely release of government subsidy and remittance of claims to the farmers.,3212
Which entities are required to enter the detailed information of insured farmers on the National Crop Insurance Portal?,"All bank branches, PACS (Primary Agricultural Credit Societies), CSCs (Common Service Centers), intermediaries, designated insurance agents, and insurance companies are required to enter the detailed information of insured farmers on the National Crop Insurance Portal.",3212
What will happen if the detailed information of insured farmers is not entered on the National Crop Insurance Portal?,"If the detailed information of insured farmers is not entered on the National Crop Insurance Portal, it may cause delays in the release of government subsidy and remittance of claims to the farmers.",3212
What is the purpose of uploading data on the National Crop Insurance Portal?,The purpose of uploading data on the National Crop Insurance Portal is to ensure eligibility for insurance coverage and the release of premium subsidy.,3212
What is the role of insurance companies in the entry of information on the National Crop Insurance Portal?,Insurance companies are one of the entities responsible for entering the detailed information of insured farmers on the National Crop Insurance Portal.,3212
Which farmers are eligible for insurance coverage on the National Crop Insurance Portal?,Only those farmers whose data is uploaded on the National Crop Insurance Portal are eligible for insurance coverage.,3212
What is the purpose of the cut-off date for loanee and non-loanee cultivators?,"The cut-off date is uniform for both loanee and non-loanee cultivators and it serves to determine the State-wise cut-off dates for different crops. These dates are based on the Crop Calendar of major crops published by the Directorate of Economics and Statistics, DAC&FW, GOI. The cut-off date helps in ensuring that all cultivators have a standardized deadline for certain agricultural activities.",3203
Where can the latest copy of the Crop Calendar be found?,"The latest copy of the Crop Calendar (District Wise, Crop Wise) can be found on the website www.pmfby.gov.in. It is published by the Directorate of Economics and Statistics, DAC&FW, GOI and provides information regarding the recommended timing for various crop-related activities.",3203
What factors are considered by the SLCCCI while determining seasonality discipline?,"The SLCCCI considers various factors, including prevailing agro-climatic conditions, rainfall distribution, availability of water for irrigation, and sowing pattern, in consultation with the Insurance Company. These factors play a crucial role in determining the seasonality discipline of the coverage and other activities. The aim is to prevent adverse selection or moral hazards.",3203
What happens if the SLCCCI violates the seasonality discipline?,"If the SLCCCI violates the seasonality discipline, the Government of India (GOI) has the authority to decide not to provide premium subsidy. This serves as a deterrent to ensure that the SLCCCI adheres to the recommended seasonality discipline to maintain fairness and reduce the risk of adverse selection or moral hazards.",3203
What is the purpose of the broad indicative seasonality discipline?,"The purpose of the broad indicative seasonality discipline is to provide a general guideline for the timing of coverage and other activities. It helps in ensuring that these activities are carried out in a manner that aligns with the prevailing agro-climatic conditions, rainfall distribution, availability of water for irrigation, sowing pattern, and other relevant factors. The broad indicative seasonality discipline serves as a reference for the SLCCCI and Insurance Company while establishing the specific timelines and guidelines for the crop insurance programme.",3203
What is the purpose of the cut-off date in the loanee and non-loanee cultivators?,"The purpose of the cut-off date is to establish a uniform timeline for both loanee and non-loanee cultivators. This date determines the State-wise cut-off dates for different crops based on the Crop Calendar published by the Directorate of Economics and Statistics, DAC&FW, GOI. It serves as a reference point for determining the seasonality discipline of the coverage and other activities related to crop insurance.",3203
"Where can the latest copy of Crop Calendar (District Wise, Crop Wise) be found?","The latest copy of the Crop Calendar (District Wise, Crop Wise) can be found on the website www.pmfby.gov.in. This calendar provides information on the recommended sowing and harvesting dates for various crops.",3203
What factors are considered by SLCCCI when fixing the seasonality discipline of the coverage?,"When fixing the seasonality discipline of the coverage, SLCCCI considers factors such as prevailing agro-climatic conditions, rainfall distribution, availability of water for irrigation, and the sowing pattern. These factors are important in determining the optimal time for providing insurance coverage to avoid adverse selection or moral hazards.",3203
What is the maximum premium payable by a farmer for Kharif crops?,"The maximum premium payable by a farmer for Kharif crops is 2.0% of Sum Insured (SI) or the Actuarial rate, whichever is less.",3196
What is the maximum premium payable by a farmer for Rabi crops?,"The maximum premium payable by a farmer for Rabi crops is 1.5% of Sum Insured (SI) or the Actuarial rate, whichever is less.",3196
What is the maximum premium payable by a farmer for Annual Commercial/Annual Horticultural crops?,"The maximum premium payable by a farmer for Annual Commercial/Annual Horticultural crops is 5% of Sum Insured (SI) or the Actuarial rate, whichever is less, for both Kharif and Rabi seasons.",3196
What is the maximum premium payable by a farmer for Perennial horticultural crops?,"The maximum premium payable by a farmer for Perennial horticultural crops is 5% of Sum Insured (SI) or the Actuarial rate, whichever is less.",3196
How is the premium calculated for Kharif crops?,"The premium for Kharif crops is calculated as 2.0% of the Sum Insured (SI) or the Actuarial rate, whichever is less.",3196
How is the premium calculated for Rabi crops?,"The premium for Rabi crops is calculated as 1.5% of the Sum Insured (SI) or the Actuarial rate, whichever is less.",3196
How is the premium calculated for Annual Commercial/Annual Horticultural crops?,"The premium for Annual Commercial/Annual Horticultural crops is calculated as 5% of the Sum Insured (SI) or the Actuarial rate, whichever is less, for both Kharif and Rabi seasons.",3196
How is the premium calculated for Perennial horticultural crops?,"The premium for Perennial horticultural crops is calculated as 5% of the Sum Insured (SI) or the Actuarial rate, whichever is less.",3196
What are the different seasons mentioned in the table?,"The seasons mentioned in the table are Kharif, Rabi, Annual Commercial/Annual Horticultural crops, and Perennial horticultural crops.",3196
What crops are covered under the Kharif season?,"Under the Kharif season, all food grain and oilseed crops are covered. This includes all cereals, millets, pulses, and oilseed crops.",3196
What crops are covered under the Rabi season?,"Under the Rabi season, all food grain and oilseed crops are covered. This includes all cereals, millets, pulses, and oilseed crops.",3196
What is the maximum premium payable by a farmer for Kharif and Rabi crops?,"For Kharif and Rabi crops, the maximum premium payable by a farmer is 2.0% of the Sum Insured or the Actuarial rate, whichever is less.",3196
What is the purpose of mapping census codes of villages with higher administrative units?,The purpose of mapping census codes of villages with higher administrative units is to create a standard mechanism of mapping and identification across the country. This allows for a consistent and uniform mapping system that helps in locating and identifying villages in relation to other administrative units.,3192
What are some examples of higher administrative/revenue units that villages can be mapped with?,"Villages can be mapped with higher administrative/revenue units such as Gram Panchayat, Firkas, Patwar Circles, Revenue Circles, Hoblis, Mandals, Blocks, Tehsils, Talukas, Districts, and Automatic Weather Stations/Backup Weather Stations.",3192
Why is it important for State Governments to provide geo-coded village maps in digital format?,"It is important for State Governments to provide geo-coded village maps in digital format because it allows for obtaining accurate location information. By integrating these maps with other applications like CCEs Agri App, Loss reporting/Assessment App, it becomes easier to accurately pinpoint the location of villages. This is particularly useful for tasks like reporting losses, assessing damages, and implementing agricultural programs or policies.",3192
What is meant by geo-coded maps?,"Geo-coded maps refer to maps that have geographic coordinates associated with their features. In the case of village maps, geo-coded maps will have latitude and longitude information assigned to each village location. These coordinates provide the precise geographical representation of each village, allowing for accurate mapping and integration with other applications.",3192
"What is the benefit of integrating geo-coded village maps with other apps like CCEs Agri App, Loss reporting/Assessment App?","Integrating geo-coded village maps with other apps like CCEs Agri App, Loss reporting/Assessment App brings several benefits. It enables accurate location-based services for farmers, agricultural workers, and officials involved in reporting losses, assessing damages, and implementing agricultural programs. With the integration, users can easily locate villages, determine their geographical features, and carry out specific tasks related to agriculture or disaster management.",3192
What kind of digital format should the geo-coded village maps be provided in?,"The geo-coded village maps should be provided in a digital format that supports geographical information. This can include formats such as Geographic Information System (GIS) files, GPS coordinates, or other standard formats that allow for precise mapping and integration with various applications. The digital format ensures easy accessibility, sharing, and utilization of the village maps.",3192
How does mapping and standard identification through census codes benefit the country?,"Mapping and standard identification through census codes provide significant benefits to the country. It helps in maintaining consistent and uniform mapping practices across different administrative units, allowing for efficient coordination and data exchange. This standardized mechanism ensures accurate identification of villages, which is essential for effective governance, planning, resource allocation, and implementation of programs at various levels.",3192
Why is it important to have a standard mechanism of mapping and identification across the country?,"Having a standard mechanism of mapping and identification across the country is important for several reasons. It ensures consistency and uniformity in identifying and locating villages, which facilitates better coordination among different administrative units. This standardization simplifies data exchange, planning, resource allocation, and implementation of programs, ultimately leading to more efficient governance and improved services for farmers and citizens.",3192
What is the purpose of mapping census codes of villages with higher administrative/revenue units across the country?,"The purpose of mapping census codes of villages with higher administrative/revenue units like Gram Panchayat, Firkas, Patwar Circles, Revenue Circles, Hoblis, Mandals, Blocks, Tehsils, Talukas, Districts, and Automatic Weather Stations/Backup Weather Stations is to create a standard mechanism of mapping and identification across the country. This ensures that there is a consistent and uniform way to identify and locate villages in different regions of the country.",3192
Why is it important for State Governments to provide geocoded village maps in digital format?,"It is important for State Governments to provide geocoded village maps in digital format because these maps contain latitude and longitude coordinates. By integrating these maps with other applications like CCEs Agri App, Loss reporting/Assessment App, etc., accurate location information can be obtained. This is crucial in various agricultural activities and assessments, as it helps in precisely determining the location of villages and conducting data analysis for better decision making and resource allocation.",3192
What system will be used by the Government of India and State Government to remit funds to State Government agencies?,The Government of India and State Government will utilize the Public Financial Management System (PFMS)/PFMS linked systems to remit the funds to State Government agencies.,3191
"Which payment gateway is mandated for banks, CSC, and Insurance Agents to remit premium payments to Insurance Companies?","Banks, CSC, and Insurance Agents are required to remit premium payments to respective Insurance Companies through the Payment Gateway (Pay-Gov) of the National Crop Insurance Portal. They can also use RTGS/NEFT for this purpose. The payment details must be uploaded on the National Crop Insurance Portal within the stipulated date.",3191
"What should stakeholders, including Insurance Companies, Bank branches, CSC, and Insurance Agents, do to comply with the requirements?","Stakeholders, including Insurance Companies, Bank branches, CSC, and Insurance Agents, must maintain dedicated bank accounts for the purpose of premium payment remittance. They must not use Banker's cheque or Demand Draft for any financial transactions. Bank details of Insurance Companies will be available on the National Crop Insurance Portal.",3191
What access will Insurance companies have on the National Crop Insurance Portal?,"Insurance companies will have login access to the essential crop notification data/information and farmer-level coverage data on the National Crop Insurance Portal. This includes banking details of individual farmers. Insurance companies can use this access to reconcile, verify, validate, and calculate payable claims, and then remit the funds directly into pre-declared bank accounts linked to the National Crop Insurance Portal.",3191
What is the recommended financial system for remitting funds to State Govt and agencies?,The recommended financial system for remitting funds to State Govt and agencies is the Public Financial Management System (PFMS) or PFMS linked systems.,3191
"What is the mandatory method for remitting premium payment to insurance companies for Banks, CSC, and Insurance Agents?","The mandatory method for remitting premium payment to insurance companies for Banks, CSC, and Insurance Agents is through the Payment Gateway (Pay-Gov) of the National Crop Insurance Portal or through RTGS/NEFT. After remitting the payment, the details need to be uploaded on the National Crop Insurance Portal within the stipulated date.",3191
What type of financial transaction is not allowed for remittance in the National Crop Insurance Programme?,"Banker's cheque or Demand Draft is not allowed for remittance in the National Crop Insurance Programme. All stakeholders, including Insurance Companies, Bank branches, CSC, and Insurance Agents, must maintain dedicated bank accounts for this purpose.",3191
What data will be provided to insurance companies on the National Crop Insurance Portal?,"Insurance companies will be provided with login access to the essential crop notification data/information along with farmer level coverage data. This includes the banking details of individual farmers. This information will be used to reconcile, verify, validate, and calculate payable claims. The insurance companies will then remit the claims directly into the pre-declared bank accounts linked to the National Crop Insurance Portal.",3191
What system will be used by the Government of India to remit funds to state governments and agencies?,The Government of India and state governments will utilize the Public Financial Management System (PFMS)/PFMS linked systems to remit funds to state governments and agencies.,3191
What is the purpose of the Operational Guidelines?,The purpose of the Operational Guidelines is to define or prescribe the seasonality discipline for various activities under the Scheme.,3187
What are the various activities covered under the Scheme?,"The various activities covered under the Scheme include submission of insurance proposals/application, consolidated declarations by banks, remittance of premium to Insurance Companies, uploading of individual covered farmer's data on National Crop Insurance Portal, submission of yield data, claim assessment of losses for standing crop, localized calamities, prevented sowing, post harvest losses, and On-Account payment for major calamities.",3187
In what circumstances is there an exception for providing yield data?,"In exceptional cases where last corresponding season yield data is not available at the time of Bidding/Notification, yield data is to be provided before the harvesting of the current season. However, the yield data up to the last to last corresponding season should be provided at the time of bidding itself. In such cases, admissible claims will be calculated on the basis of yield data of the last 7 years only.",3187
What is the role of State Govt./ UT in the Scheme?,"The State Govt./ UT, in accordance with the Operational Guidelines, is responsible for notifying the seasonality discipline for various activities under the Scheme. This includes activities such as submission of insurance proposals/application, consolidated declarations by banks, remittance of premium to Insurance Companies, uploading of individual covered farmer's data on National Crop Insurance Portal, submission of yield data, claim assessment of losses for standing crop, localized calamities, prevented sowing, post-harvest losses, and On-Account payment for major calamities.",3187
What are the activities for which the State Govt./ UT needs to notify seasonality discipline?,"The State Govt./ UT is required to notify seasonality discipline for various activities under the Scheme. These activities include submission of insurance proposals/application, consolidated declarations by banks, remittance of premium to Insurance Companies, uploading of individual covered farmer's data on National Crop Insurance Portal, submission of yield data, claim assessment of losses for standing crop, localized calamities, prevented sowing, post-harvest losses, and On-Account payment for major calamities.",3187
"In exceptional cases, when should the yield data be provided?","In exceptional cases where the last corresponding season yield data is not available at the time of Bidding/Notification, the yield data is to be provided before the harvesting of the current season. However, the yield data up to the last to last corresponding season should be provided at the time of bidding itself. Admissible claims will be calculated based on the yield data of the last 7 years in such cases.",3187
What should be provided at the time of bidding when yield data is not available?,"When the yield data is not available at the time of bidding, the State Govt./ UT should provide the yield data up to the last to last corresponding season.",3187
How are admissible claims calculated in exceptional cases when yield data is not available?,"In exceptional cases where the yield data is not available, admissible claims will be calculated based on the yield data of the last 7 years.",3187
What is the criteria for compulsory coverage of crop insurance?,"The criteria for compulsory coverage of crop insurance is when banks sanction a loan for a notified crop in a notified area, the crop loan amount up to the extent of the notified Sum Insured (equivalent to DLTC/SLTC approved Scale of Finance) for the notified crop and acreage of the individual notified crop of the loanee farmer is taken into consideration.",3213
How should banks calculate the eligibility of loan amount for different crop seasons?,Banks should separately calculate the eligibility of loan amount for both Kharif and Rabi seasons based on the Scale of Finance and declared acreage under notified crops. Disbursing bank branch/PACS will prepare a statement of crop-wise and insurance unit-wise details of crop insurance with premium as per the seasonality discipline.,3213
What additional loan does the disbursing bank branch/PACS provide for crop insurance?,The disbursing bank branch/PACS will finance an additional loan equal to the premium amount payable by the farmer for crop insurance.,3213
How is the Sum Insured amount determined for a notified crop?,The Sum Insured amount for a notified crop is equivalent to the Scale of Finance defined in the Government notification and uploaded on the National Crop Insurance Portal for the concerned notified crop and season. The total Sum Insured of the loanee farmer for the season is calculated accordingly.,3213
What is the basis for compulsory coverage under crop insurance?,The compulsory coverage under crop insurance is solely based on the sanctioned/renewal of credit limit for the notified crop for the season. It is independent of the disbursed amount or withdrawals made by the farmer.,3213
Are farmers eligible for crop insurance if they avail/renew the KCC loans after the cut-off date for the season?,"Farmers who avail/renew the KCC (Kisan Credit Card) loans for Kharif and Rabi crops after the cut-off date for the season will be eligible for cover under crop insurance for the next/following crop season, subject to the loan being a standard loan and the cut-off date of premium debit for the season.",3213
What is considered when banks sanction a loan for a notified crop in a notified area?,The crop loan amount to the extent of the notified Sum Insured for the notified crop and acreage of individual notified crop of the loanee farmer is taken into consideration for compulsory coverage.,3213
How should banks calculate the eligibility of loan amount for a crop during Kharif and Rabi seasons?,Banks should separately calculate the eligibility of loan amount for both Kharif and Rabi seasons based on the Scale of Finance and declared acreage under the notified crops.,3213
What is the additional loan amount provided by the disbursing bank branch/PACS for crop insurance?,The disbursing bank branch/PACS shall finance an additional loan equal to the premium amount payable by the farmer for crop insurance.,3213
What does the empanelment of Insurance Companies for implementation of PMFBY imply?,"The empanelment of Insurance Companies for implementation of PMFBY implies their acceptance of all provisions, modalities and guidelines of the Scheme.",3176
What are the major activities Insurance Companies need to carry out for the implementation of PMFBY?,"Insurance Companies need to carry out the following major activities for the implementation of PMFBY: 
1. Conducting a pilot study to leverage new technology for the effective implementation of the Scheme in a transparent manner. 
2. Deploying requisite infrastructure to increase outreach to rural farmers at their doorstep. 
3. Committing to at least a 10% incremental increase in coverage for non-loanee farmers. 
4. Deploying sufficient manpower to co-observe Crop Cutting Experiments (CCEs) and other related activities, along with the compulsory use of the CCE Co-observation app. 
5. Allocating necessary resources and committing to advertisements, awareness generation, and capacity building of stakeholders about the Scheme.",3176
What is the requirement regarding the pilot study for the implementation of PMFBY?,The requirement for the implementation of PMFBY includes conducting a pilot study to leverage new technology for effective implementation of the Scheme in a transparent manner.,3176
What infrastructure should be deployed by Insurance Companies for increasing outreach to rural farmers?,Insurance Companies should deploy the requisite infrastructure to increase the outreach to rural farmers at their doorstep.,3176
What commitment is expected from Insurance Companies in terms of non-loanee coverage?,Insurance Companies are expected to commit to at least a 10% incremental increase in coverage for non-loanee farmers.,3176
What is the role of manpower in the implementation of PMFBY?,Sufficient manpower needs to be deployed by Insurance Companies to co-observe Crop Cutting Experiments (CCEs) and other allied activities. They are also required to use the CCE Co-observation app.,3176
What resources should be allocated by Insurance Companies for the implementation of PMFBY?,"Insurance Companies should allocate the requisite resources and show commitment for advertisements, awareness generation, and capacity building of stakeholders about the Scheme. The detailed planning for the same should be submitted to the Central and State Governments in advance, before the start of each season.",3176
Who should Insurance Companies submit the detailed planning to for the implementation of PMFBY?,"Insurance Companies should submit the detailed planning to the Central and State Governments in advance, before the start of each season.",3176
What does the empanelment of Insurance Companies for implementation of the Scheme (PMFBY) imply?,"The empanelment of Insurance Companies for implementation of the Scheme (PMFBY) implies that the companies accept all provisions, modalities, and guidelines of the Scheme.",3176
What are the major activities that the empanelled Insurance Companies need to carry out for the implementation of PMFBY?,"The empanelled Insurance Companies need to carry out several major activities for the implementation of PMFBY. These activities include conducting a pilot study to leverage new technology for effective and transparent implementation of the Scheme, deploying the necessary infrastructure to increase outreach to rural farmers, committing to at least a 10% incremental increase in non-loanee coverage, allocating sufficient manpower to co-observe Crop Cutting Experiments (CCEs) and other allied activities, compulsory use of CCE Co-observation app, and allocating resources for advertisements, awareness generation, and capacity building of stakeholders about the Scheme. The detailed planning for these activities should be submitted to the Central and State Government in advance, before the start of each season.",3176
What is the purpose of the pilot study to be carried out by the empanelled Insurance Companies?,The purpose of the pilot study is to leverage new technology for the effective implementation of the PMFBY Scheme in a transparent manner.,3176
What is the objective of deploying requisite infrastructure by the empanelled Insurance Companies?,"The objective of deploying the requisite infrastructure is to increase the outreach to rural farmers, bringing the benefits of the PMFBY Scheme to their doorstep.",3176
What is the purpose of adjusting the premium in respect of affected IUs including subsidy?,The purpose of adjusting the premium in respect of affected IUs including subsidy is to enable settlement of claims arising due to specific events in respect of all beneficiaries. This adjustment is done from the fund already available with the Insurance Companies as an advance upfront subsidy.,3198
When will the settlement of admissible claims based on Yield data/Post harvest losses be done?,The settlement of admissible claims based on Yield data/Post harvest losses will be done on receipt of the second installment of Government subsidy. This subsidy will be paid to the insurance companies based on tentative business statistics generated on the portal after 15 days of the specified period for auto approval of applications on the portal.,3198
What happens with the remaining Government subsidy?,"The remaining Government subsidy, if any, will be paid after the reconciliation of all business statistics for the season on the portal. This ensures that the insurance companies receive the full subsidy amount they are entitled to.",3198
What is the requirement for empanelled insurance companies regarding access to agencies verifying the accounts and audit in respect of Crop Insurance?,"Empanelled insurance companies, including private insurance companies, are required to provide free access to the Central/State level agencies, including the CAG (Comptroller and Auditor General), authorized to verify the accounts and audit in respect of Crop Insurance. This access allows the agencies to ensure transparency and accountability in the insurance process.",3198
What should be done in case the State Government subsidizes the full farmers' share of premium?,"In case the State Government subsidizes the full farmers' share of premium, a token amount of at least Re. 1 should compulsorily be charged from the farmer. This is done to facilitate electronic tracking, which helps in keeping a record of the premium payments and ensuring proper implementation of the subsidy scheme.",3198
What is the timeline for the release of the State share of premium subsidy by the State Government?,"The State Government has to release the State share of premium subsidy within 3 months from the premium requisition by the concerned Insurance Company. If the State Government fails to do so, a penalty of 1% interest per month shall be levied on the State Government.",3198
What is the purpose of adjusting the premium in respect of affected IUs including subsidy?,The purpose of adjusting the premium in respect of affected IUs including subsidy is to enable the settlement of claims arising due to certain events for all beneficiaries. This adjustment is done from the fund already available with insurance companies as an advance upfront subsidy to comply with the regulations of the Insurance Act and the IRDAI.,3198
How are claims based on yield data and post-harvest losses settled?,Claims based on yield data and post-harvest losses are settled after the receipt of the second installment of Government subsidy. This subsidy is paid based on the tentative business statistics generated on the portal after a specified period of auto approval of applications. All admissible claims will be settled once the second installment of the Government subsidy is received.,3198
What happens to the remaining Government subsidy after settling the claims?,"After settling all the claims and reconciling the business statistics for the season on the portal, the remaining Government subsidy, if any, will be paid. The payment of the remaining subsidy is done after all the business statistics have been reviewed and analyzed.",3198
What is the requirement for non-loanee cultivators to get insured?,Non-loanee cultivators serviced by the designated intermediaries are required to hold a bank account and either a Aadhaar No. or Aadhaar enrolment No. in order to get insured.,3223
What is the role of the designated intermediaries in the insurance process?,"The designated intermediaries not only service the non-loanee cultivators but also facilitate remittance of the claim, if payable.",3223
What type of verification is required for farmers buying crop insurance through CSCs or online?,"Farmers buying crop insurance through CSCs or online need to complete OTP/Aadhaar enabled verification, which will be considered as their signature for coverage under the crop insurance.",3223
What is the requirement for non-loanee cultivators to get insured?,Non-loanee cultivators who are serviced by designated intermediaries must have a bank account and either a Aadhaar Number or an Aadhaar enrollment Number in order to get insured.,3223
What role do designated intermediaries play in the insurance process?,"Designated intermediaries not only service the non-loanee cultivators but also facilitate the remittance of claims, if payable.",3223
How is the application signature obtained for crop insurance bought through CSCs or online?,"For farmers buying crop insurance through CSCs or online, the OTP/Aadhaar enabled verification serves as the applicant's signature for coverage under the insurance.",3223
What are the mandatory requirements for non-loanee cultivators to hold in order to get insured?,Non-loanee cultivators must hold a bank account and either a Aadhaar Number or an Aadhaar enrollment Number in order to get insured.,3223
Which parties are involved in facilitating the remittance of claims for insured non-loanee cultivators?,The designated intermediaries are responsible for facilitating the remittance of claims for insured non-loanee cultivators.,3223
What is required for a non-loanee cultivator to become eligible for insurance?,"To become eligible for insurance, a non-loanee cultivator must have a bank account and either a Aadhaar Number or an Aadhaar enrollment Number.",3223
What is considered as the applicant's signature for crop insurance bought through CSCs or online?,"For crop insurance purchased through CSCs or online, the OTP/Aadhaar enabled verification is considered as the applicant's signature for coverage.",3223
What is the implication of a State Govt./UT issuing a notification for the implementation of the Scheme (PMFBY)?,"The issuance of a notification by a State Govt./UT for the implementation of the Scheme (PMFBY) implies their acceptance of all provisions, modalities, and guidelines of the Scheme.",3175
What are the main conditions that bind States/UTs in relation to PMFBY?,"The main conditions that bind States/UTs in relation to PMFBY include the adoption of innovative technology such as smart phones and hand-held devices for capturing the conduct of Crop Cutting Experiments (CCEs) through CCE-Agri App, the use of the NCIP platform for information flow and auto administration of the scheme, conducting the required number of CCEs at the level of the notified insurance unit area, uploading CCE-based yield data on the National Crop Insurance Portal or submitting it to the Insurance Company within the notified cut off date, making necessary budgetary provision for premium subsidy at the beginning of the crop season, carrying out pilot studies for improved yield estimations using technology, designating the Department of State Govt. as the Nodal Department for implementation of PMFBY, and strengthening the State Level Coordination Committee on Crop Insurance (SLCCCI) to oversee the implementation of PMFBY.",3175
What is the role of smart phones and hand-held devices in PMFBY?,"In PMFBY, smart phones and hand-held devices are used to capture the conduct of Crop Cutting Experiments (CCEs) through the CCE-Agri App. This adoption of innovative technology helps in the flow of information and auto administration of the scheme.",3175
What is the significance of conducting Crop Cutting Experiments (CCEs) in PMFBY?,"Crop Cutting Experiments (CCEs) are an important aspect of PMFBY. States/UTs are required to conduct the requisite number of CCEs at the level of the notified insurance unit area. These experiments provide yield data, which is crucial for determining insurance coverage and claims settlements.",3175
Where should CCE-based yield data be uploaded in PMFBY?,CCE-based yield data should be uploaded on the National Crop Insurance Portal or submitted to the Insurance Company within the notified cut-off date in PMFBY. This ensures timely availability of yield data for insurance purposes.,3175
What is the importance of budgetary provision in PMFBY?,"In PMFBY, States/UTs are required to make necessary budgetary provision for premium subsidy at the beginning of the crop season. This ensures that farmers receive the premium subsidy as per the scheme's guidelines and promotes timely financial support for crop insurance.",3175
What are pilot studies in relation to PMFBY?,"Pilot studies in relation to PMFBY are conducted to explore and test improved yield estimation methods using technology. These studies aim to enhance the accuracy of yield estimations, which is crucial for determining insurance coverage and claims settlements.",3175
What is the role of the Department of State Govt. and the State Level Coordination Committee on Crop Insurance (SLCCCI) in PMFBY?,"The Department of State Govt. is designated as the Nodal Department for implementation of PMFBY. The State Level Coordination Committee on Crop Insurance (SLCCCI), which oversees the implementation of PMFBY, is strengthened by including representatives from State Horticulture Dept., State Remote Sensing Application Centre, India Meteorological Department (IMD), Farmers' Representatives, and empanelled Insurance Companies. The SLCCCI serves as a key coordination body to ensure effective implementation of the scheme at the state level.",3175
Who can be included in the State Level Coordination Committee on Crop Insurance (SLCCCI) in PMFBY?,"In PMFBY, the State Level Coordination Committee on Crop Insurance (SLCCCI) includes representatives from State Horticulture Dept., State Remote Sensing Application Centre, India Meteorological Department (IMD), Farmers' Representatives, and empanelled Insurance Companies. The Chairman of SLCCCI can also co-opt representatives from other departments/agencies if it is deemed necessary for the effective implementation of the scheme.",3175
What does the issuance of a notification by the State Govt./UT imply?,"The issuance of a notification by the State Govt./UT for the implementation of the Scheme (PMFBY) implies their acceptance of all the provisions, modalities, and guidelines of the Scheme.",3175
What are the main conditions binding on States/UTs with regard to PMFBY?,"The main conditions binding on States/UTs regarding PMFBY are as follows:

- Adoption of innovative technology, especially smartphones/handheld devices, for capturing the conduct of Crop Cutting Experiments (CCEs) through CCE-Agri App and the use of NCIP platform for the flow of information and auto-administration of the scheme.
- Conducting the required number of Crop Cutting Experiments (CCEs) at the level of the notified insurance unit area.
- Uploading the CCE based yield data on the National Crop Insurance Portal or submitting it to the Insurance Company within the notified cut off date.
- Making necessary budgetary provision for premium subsidy based on fair estimates at the beginning of the crop season.
- Carrying out pilot studies for improved yield estimations using technology.",3175
How does the assessment of damage for crop damage arising from post-harvest losses and localized risks take place?,"The assessment of damage for crop damage arising from post-harvest losses and localized risks is done on an individual farm basis as specified in Section 21, paragraphs 21.4 and 21.5.",3183
What factors are considered by SLCCCI for the purpose of notification?,"For the purpose of notification, SLCCCI considers factors such as the availability of past yield data based on CCEs for a sufficient number of years (at least 7 years for calculation of threshold yield), cropped acreage, and the capacity for estimating yield during the proposed season.",3183
What should state governments ensure with regard to the crops proposed to be notified?,State governments should ensure that a standard methodology of yield estimation exists for all the crops proposed to be notified.,3183
What kind of data should state governments provide to insurance companies?,"State governments should provide 10 years' historical yield data in soft format (Excel) in English to insurance companies. This data is used for the calculation of threshold yield, premium rates, etc. at the insurance unit area. In the absence of this data, data at the next higher unit/nearest neighboring unit/weighted average of contiguous units, as decided by the SLCCCI, will be used.",3183
What information should be included in the notification by state governments?,The notification by state governments should include the level and name of the notified area of the insurance unit. This information should be provided at the time of bidding.,3183
How should state governments plan and conduct CCEs for irrigated and un-irrigated areas under a crop?,State governments should ensure that minimum CCEs are planned and conducted separately for irrigated and un-irrigated crops in such areas when proposing to notify these areas separately.,3183
How is the assessment of crop damage done for claims arising out of post-harvest losses and localized risks?,"The assessment of crop damage for claims arising out of post-harvest losses and localized risks is done on an individual farm basis. This process is outlined in Section 21, paragraphs 21.4 and 21.5, respectively.",3183
What factors are considered by SLCCCI for the purpose of notification?,"SLCCCI considers factors such as availability of past yield data based on CCEs for an adequate number of years (at least 7 years for calculation of threshold yield), cropped acreage, and capacity for estimating yield during the proposed season for the purpose of notification.",3183
What is the responsibility of state governments regarding coverage of major crops?,State governments should endeavor to cover all the major crops grown in all the districts of the state. They should ensure that a standard methodology of yield estimation exists for all the crops proposed to be notified.,3183
What is the objective of Pradhan Mantri Fasal Bima Yojana?,The objective of Pradhan Mantri Fasal Bima Yojana is to support sustainable production in the agriculture sector.,3161
Who does Pradhan Mantri Fasal Bima Yojana aim to benefit?,Pradhan Mantri Fasal Bima Yojana aims to benefit farmers in the agriculture sector.,3161
What does Pradhan Mantri Fasal Bima Yojana aim to achieve?,Pradhan Mantri Fasal Bima Yojana aims to achieve sustainable production in the agriculture sector.,3161
